date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:15	38968/38968	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:19:30%20GMT	https://gico.io/wowhair/images/about/1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/about/1.jpg	(from https://gico.io/wowhair/)
07:45:16	20595/20595	---M--	200	added ('OK')	image/png	date:Tue,%2017%20May%202022%2011:01:26%20GMT	https://gico.io/wowhair/images/about/signature.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/about/signature.png	(from https://gico.io/wowhair/)
07:45:16	40959/40959	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:25:42%20GMT	https://gico.io/wowhair/images/service/1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/service/1.jpg	(from https://gico.io/wowhair/)
07:45:17	43711/43711	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:25:42%20GMT	https://gico.io/wowhair/images/service/2.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/service/2.jpg	(from https://gico.io/wowhair/)
07:45:17	56127/56127	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:25:42%20GMT	https://gico.io/wowhair/images/service/3.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/service/3.jpg	(from https://gico.io/wowhair/)
07:45:17	203605/203605	---M--	200	added ('OK')	image/png	date:Sun,%2029%20May%202022%2016:27:30%20GMT	https://gico.io/wowhair/images/img2.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/img2.png	(from https://gico.io/wowhair/)
07:45:18	52697/52697	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:22:50%20GMT	https://gico.io/wowhair/images/gallery/1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/1.jpg	(from https://gico.io/wowhair/)
07:45:18	57729/57729	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:25:42%20GMT	https://gico.io/wowhair/images/service/4.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/service/4.jpg	(from https://gico.io/wowhair/)
07:45:18	76906/76906	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:23:32%20GMT	https://gico.io/wowhair/images/gallery/big1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/big1.jpg	(from https://gico.io/wowhair/)
07:45:18	52501/52501	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:22:50%20GMT	https://gico.io/wowhair/images/gallery/2.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/2.jpg	(from https://gico.io/wowhair/)
07:45:19	91185/91185	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:23:32%20GMT	https://gico.io/wowhair/images/gallery/big2.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/big2.jpg	(from https://gico.io/wowhair/)
07:45:19	46433/46433	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:22:50%20GMT	https://gico.io/wowhair/images/gallery/3.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/3.jpg	(from https://gico.io/wowhair/)
07:45:19	80408/80408	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:23:32%20GMT	https://gico.io/wowhair/images/gallery/big3.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/big3.jpg	(from https://gico.io/wowhair/)
07:45:20	50463/50463	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:22:50%20GMT	https://gico.io/wowhair/images/gallery/4.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/4.jpg	(from https://gico.io/wowhair/)
07:45:20	71821/71821	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:23:32%20GMT	https://gico.io/wowhair/images/gallery/big4.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/big4.jpg	(from https://gico.io/wowhair/)
07:45:20	57443/57443	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:22:50%20GMT	https://gico.io/wowhair/images/gallery/5.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/5.jpg	(from https://gico.io/wowhair/)
07:45:21	94024/94024	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:23:56%20GMT	https://gico.io/wowhair/images/gallery/big5.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/big5.jpg	(from https://gico.io/wowhair/)
07:45:21	93601/93601	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:23:56%20GMT	https://gico.io/wowhair/images/gallery/big6.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/big6.jpg	(from https://gico.io/wowhair/)
07:45:21	8662/8662	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20May%202022%2016:01:14%20GMT	https://gico.io/wowhair/images/testimonial/1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/testimonial/1.jpg	(from https://gico.io/wowhair/)
07:45:22	67999/67999	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:22:50%20GMT	https://gico.io/wowhair/images/gallery/6.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/gallery/6.jpg	(from https://gico.io/wowhair/)
07:45:22	8490/8490	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20May%202022%2017:09:06%20GMT	https://gico.io/wowhair/images/testimonial/2.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/testimonial/2.jpg	(from https://gico.io/wowhair/)
07:45:22	7626/7626	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20May%202022%2016:01:30%20GMT	https://gico.io/wowhair/images/testimonial/3.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/testimonial/3.jpg	(from https://gico.io/wowhair/)
07:45:23	216822/216822	---M--	200	added ('OK')	image/png	date:Sun,%2029%20May%202022%2016:27:30%20GMT	https://gico.io/wowhair/images/img3.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/img3.png	(from https://gico.io/wowhair/)
07:45:23	58395/58395	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:20:44%20GMT	https://gico.io/wowhair/images/blog/1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/blog/1.jpg	(from https://gico.io/wowhair/)
07:45:23	46433/46433	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:20:44%20GMT	https://gico.io/wowhair/images/blog/2.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/blog/2.jpg	(from https://gico.io/wowhair/)
07:45:23	55757/55757	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:20:44%20GMT	https://gico.io/wowhair/images/blog/3.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/blog/3.jpg	(from https://gico.io/wowhair/)
07:45:24	5934/5934	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:20:44%20GMT	https://gico.io/wowhair/images/blog/b-1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/blog/b-1.jpg	(from https://gico.io/wowhair/)
